"date","btc_close","eth_close","btc_ret","eth_ret","btc_close_cg","btc_mcap_cg","btc_volume_cg","eth_close_cg","eth_mcap_cg","eth_volume_cg","btc_volume_yf","eth_volume_yf","price_source","in_sample"
2024-02-17,51662.99609375,2786.67260742188,-0.00957802949778674,-0.00608863800730131,NA,NA,NA,NA,NA,NA,20009091006,17932379943,"Yahoo Finance",TRUE
2024-02-18,52122.546875,2878.998046875,0.00885583428071257,0.0325940629496664,NA,NA,NA,NA,NA,NA,17595377311,23355830478,"Yahoo Finance",TRUE
2024-02-19,51779.14453125,2943.57470703125,-0.00661016369404521,0.0221823962784109,NA,NA,NA,NA,NA,NA,21362184346,15163110589,"Yahoo Finance",TRUE
2024-02-20,52284.875,3013.50366210938,0.00971967933731932,0.0234786796705322,NA,NA,NA,NA,NA,NA,33353758256,20341598470,"Yahoo Finance",TRUE
2024-02-21,51839.1796875,2970.35546875,-0.00856090431522993,-0.0144217770742241,NA,NA,NA,NA,NA,NA,28624907020,18897136867,"Yahoo Finance",TRUE
2024-02-22,51304.97265625,2971.00732421875,-0.0103585476400152,0.000219429613736999,NA,NA,NA,NA,NA,NA,25413900611,18058908246,"Yahoo Finance",TRUE
2024-02-23,50731.94921875,2921.658203125,-0.0112318061155126,-0.0167497288331502,NA,NA,NA,NA,NA,NA,21427078270,12822717059,"Yahoo Finance",TRUE
2024-02-24,51571.1015625,2992.38598632812,0.0164055941302177,0.0239197250362118,NA,NA,NA,NA,NA,NA,15174077879,10701688842,"Yahoo Finance",TRUE
2024-02-25,51733.23828125,3112.697265625,0.00313901336823719,0.0394185803791824,NA,NA,NA,NA,NA,NA,15413239245,14620450464,"Yahoo Finance",TRUE
2024-02-26,54522.40234375,3178.99365234375,0.0525111876569451,0.0210750468838974,NA,NA,NA,NA,NA,NA,34074411896,17504464351,"Yahoo Finance",TRUE
2024-02-27,57085.37109375,3244.51928710938,0.0459362164404737,0.0204025144361797,NA,NA,NA,NA,NA,NA,49756832031,21090315368,"Yahoo Finance",TRUE
2024-02-28,62504.7890625,3385.70385742188,0.0906952929770419,0.0425946193780362,NA,NA,NA,NA,NA,NA,83239156760,32885894265,"Yahoo Finance",TRUE
2024-02-29,61198.3828125,3341.91967773438,-0.0211224142700193,-0.0130164233010781,NA,NA,NA,NA,NA,NA,65496611844,28469171094,"Yahoo Finance",TRUE
2024-03-01,62440.6328125,3435.05395507812,0.0200954657884242,0.0274872373036921,NA,NA,NA,NA,NA,NA,40186368423,16880101987,"Yahoo Finance",TRUE
2024-03-02,62029.84765625,3422.0498046875,-0.00660054731209136,-0.00379290337032856,NA,NA,NA,NA,NA,NA,23888473685,12024340617,"Yahoo Finance",TRUE
2024-03-03,63167.37109375,3490.99365234375,0.0181722046590131,0.0199466802026187,NA,NA,NA,NA,NA,NA,26253811450,13643324467,"Yahoo Finance",TRUE
2024-03-04,68330.4140625,3630.43383789062,0.0785670808490071,0.0391657458763159,NA,NA,NA,NA,NA,NA,70670471105,26772963830,"Yahoo Finance",TRUE
2024-03-05,63801.19921875,3554.96459960938,-0.0685829818149202,-0.0210070504160473,NA,NA,NA,NA,NA,NA,102802940877,47706899137,"Yahoo Finance",TRUE
2024-03-06,66106.8046875,3819.22631835938,0.0354997002008659,0.071702762354878,NA,NA,NA,NA,NA,NA,68750229073,34938642613,"Yahoo Finance",TRUE
2024-03-07,66925.484375,3874.34765625,0.0123081400525162,0.0143294342144955,NA,NA,NA,NA,NA,NA,46989543159,22457177587,"Yahoo Finance",TRUE
2024-03-08,68300.09375,3892.06103515625,0.020331312236987,0.0045615445502829,NA,NA,NA,NA,NA,NA,59202881172,26135487051,"Yahoo Finance",TRUE
2024-03-09,68498.8828125,3915.4189453125,0.00290629663201969,0.00598348760501644,NA,NA,NA,NA,NA,NA,21609650379,11926623780,"Yahoo Finance",TRUE
2024-03-10,69019.7890625,3881.19311523438,0.00757582565720583,-0.00877972372258284,NA,NA,NA,NA,NA,NA,35683977532,15783924355,"Yahoo Finance",TRUE
2024-03-11,72123.90625,4066.44506835938,0.0439922985827472,0.0466265599074269,NA,NA,NA,NA,NA,NA,65716656765,28806262507,"Yahoo Finance",TRUE
2024-03-12,71481.2890625,3980.27319335938,-0.00894983604934829,-0.0214187117111475,NA,NA,NA,NA,NA,NA,62554434520,26917010932,"Yahoo Finance",TRUE
2024-03-13,73083.5,4006.45703125,0.0221668990640751,0.00655685893050695,NA,NA,NA,NA,NA,NA,48212536929,22028114691,"Yahoo Finance",TRUE
2024-03-14,71396.59375,3883.14038085938,-0.0233524614583818,-0.0312631146419182,NA,NA,NA,NA,NA,NA,59594605698,25434810823,"Yahoo Finance",TRUE
2024-03-15,69403.7734375,3735.22021484375,-0.0283089232920002,-0.0388374261325506,NA,NA,NA,NA,NA,NA,78320453976,33505075433,"Yahoo Finance",TRUE
2024-03-16,65315.1171875,3522.86010742188,-0.0607177252062971,-0.0585335864408769,NA,NA,NA,NA,NA,NA,46842198371,20199855932,"Yahoo Finance",TRUE
2024-03-17,68390.625,3642.4130859375,0.0460122407046093,0.033373207497597,NA,NA,NA,NA,NA,NA,44716864318,19938757095,"Yahoo Finance",TRUE
2024-03-18,67548.59375,3517.98510742188,-0.0123885075543679,-0.0347579846458714,NA,NA,NA,NA,NA,NA,49261579492,21162220224,"Yahoo Finance",TRUE
2024-03-19,61912.7734375,3157.6181640625,-0.0871207318570075,-0.108070415215114,NA,NA,NA,NA,NA,NA,74215844794,34166976701,"Yahoo Finance",TRUE
2024-03-20,67913.671875,3513.39306640625,0.0925108529687737,0.106764258284009,NA,NA,NA,NA,NA,NA,66792634382,36605316331,"Yahoo Finance",TRUE
2024-03-21,65491.390625,3492.9912109375,-0.036318674226214,-0.0058238064955578,NA,NA,NA,NA,NA,NA,44480350565,22213647922,"Yahoo Finance",TRUE
2024-03-22,63778.76171875,3333.68798828125,-0.0264984466521589,-0.046679254477823,NA,NA,NA,NA,NA,NA,41401116964,20574952329,"Yahoo Finance",TRUE
2024-03-23,64062.203125,3336.59399414062,0.00443428866540074,0.000871329293390843,NA,NA,NA,NA,NA,NA,24738964812,13242137554,"Yahoo Finance",TRUE
2024-03-24,67234.171875,3454.63647460938,0.0483270931506787,0.0347667100501585,NA,NA,NA,NA,NA,NA,27206630673,12156660941,"Yahoo Finance",TRUE
2024-03-25,69958.8125,3590.8837890625,0.0397250476948798,0.0386811185058651,NA,NA,NA,NA,NA,NA,42700139523,18603921705,"Yahoo Finance",TRUE
